case_id,fault_type,concept_tag,osi_layer,severity,symptom,topology_note,show_output,expected_root_cause,expected_next_command,expected_fix
CASE011,VLAN,Trunk pruning / allowed VLAN list restriction,Layer 2,High,"PC in VLAN 40 cannot reach the remote server on SW2 across trunk link Fa0/1.","SW1 trunk Fa0/1 connects to SW2 trunk Fa0/1. VLAN 40 exists on both switches.","show interfaces trunk shows Fa0/1 VLANs allowed on trunk: 1-39.","Trunk port Fa0/1 is pruning VLAN 40 because allowed list is restricted to 1-39.","show interfaces trunk","Run 'interface fa0/1' -> 'switchport trunk allowed vlan add 40' on SW1 and SW2."
CASE012,DNS,Unreachable DNS server IP,Layer 7,High,"Users cannot browse the intranet portal by domain name, but pinging portal IP 192.168.10.50 works.","DHCP distributes 192.168.100.1 as DNS server; router has no route to 192.168.100.0/24.","ipconfig /all shows DNS server 192.168.100.1; ping 192.168.100.1 returns Destination Host Unreachable.","The DNS server IP handed out by DHCP is unreachable due to missing route or incorrect address.","ping 192.168.100.1","Update DHCP scope with valid DNS server IP 192.168.10.1 or add route to 192.168.100.0/24."
CASE013,NAT,Narrow NAT ACL excluding new subnet,Layer 3,Medium,"Hosts in new VLAN 50 cannot browse the internet, while VLAN 10 and VLAN 20 hosts can.","VLAN 50 (10.0.50.0/24) was recently added to edge router. NAT ACL 1 permits 10.0.10.0 and 10.0.20.0.","show access-lists 1 shows permit 10.0.10.0/24 and 10.0.20.0/24 only; no entries for 10.0.50.0 in show ip nat translations.","NAT access-list 1 was not updated to include the new VLAN 50 subnet.","show access-lists 1","Add 'access-list 1 permit 10.0.50.0 0.0.0.255' on the edge router."
CASE014,Interface,Port security err-disabled violation,Layer 1,Medium,"Network printer connected to Fa0/8 lost connectivity after being moved to a different wall jack.","Switchport Fa0/8 configured with switchport port-security violation shutdown.","show interfaces status shows Fa0/8 is err-disabled; show port-security interface fa0/8 shows violation count 1.","Port security violation triggered err-disable when the printer's MAC address changed on Fa0/8.","show port-security interface fa0/8","Run 'interface fa0/8' -> 'shutdown' -> 'no shutdown' and update secure MAC address."
CASE015,ACL,Missing secondary port in firewall ACL,Layer 4,Low,"ERP web client connects on port 80, but the reporting dashboard on port 8080 fails to load data.","Inbound ACL 101 applied on router gateway interface facing the ERP server.","show access-lists 101 shows permit tcp any any eq 80 and permit tcp any any eq 443; no permit for 8080.","ACL 101 lacks a permit entry for application port 8080, causing implicit deny to drop reporting requests.","show access-lists 101","Add 'access-list 101 permit tcp any any eq 8080' above the implicit deny."
CASE016,Gateway,Static gateway IP mismatch with SVI,Layer 3,Low,"Static database server can reach local subnet hosts but cannot reach backup cloud repository.","Server has static IP 192.168.1.50/24; Gateway set to 192.168.1.254. Switch SVI is 192.168.1.1.","show ip interface brief shows Vlan1 is 192.168.1.1; server gateway configured as 192.168.1.254.","Server default gateway is configured as .254 while the router SVI is .1.","show ip interface brief | include Vlan1","Change server static gateway configuration to 192.168.1.1."
CASE017,Routing,Recursive routing failure on next hop,Layer 3,High,"Static route configured for 10.200.0.0/16 is not appearing in the active routing table.","Route points to next hop 192.168.99.1 which is not directly connected or reachable.","show ip route 10.200.0.0 shows '% Network not in table'; show run shows 'ip route 10.200.0.0 255.255.0.0 192.168.99.1'.","Next hop IP 192.168.99.1 is unreachable, preventing the static route from being installed in the RIB.","show ip route 192.168.99.1","Fix next hop IP to the directly connected interface IP (e.g. 192.168.12.2)."
CASE018,Wireless,WLC AP max client capacity reached,Layer 2,Medium,"Lobby Wi-Fi users intermittently disconnect and cannot associate during all-hands meetings.","Lobby AP configured with max client association threshold of 25.","show ap client summary shows 25 clients associated; client association request logs show status code 17 (association denied).","The AP has reached its configured maximum client association limit.","show ap config general <AP-NAME>","Increase max client associations per radio on WLC or add a second AP to share RF load."
CASE019,Trunk,DTP dynamic auto negotiation mismatch,Layer 2,Medium,"Link between SW1 Fa0/24 and SW2 Fa0/24 is operating as access port instead of trunk.","Both switch interfaces left on default 'switchport mode dynamic auto'.","show interfaces fa0/24 switchport shows 'Administrative Mode: dynamic auto', 'Operational Mode: static access'.","Dynamic Auto on both sides never negotiates a trunk link because neither side initiates DTP negotiation.","show interfaces fa0/24 switchport","Configure 'switchport mode trunk' statically or set one side to 'dynamic desirable'."
CASE020,Trunk,Missing trunk encapsulation dot1q,Layer 2,Low,"Command 'switchport mode trunk' fails with syntax error on Catalyst 3560 switch.","Multilayer switch supports both ISL and 802.1Q encapsulation.","CLI output: '% Command rejected: An interface whose trunk encapsulation is Auto can not be configured to trunk mode.'","Trunk encapsulation must be explicitly defined before enabling trunk mode on this hardware platform.","show interface fa0/1 capabilities","Run 'switchport trunk encapsulation dot1q' prior to 'switchport mode trunk'."
CASE021,VLAN,Voice VLAN auxiliary configuration missing,Layer 2,Medium,"IP Phone boots and powers on via PoE, but PC connected to phone data port cannot obtain IP in data VLAN 10.","Cisco 7960 IP Phone connected to switch Fa0/5 with daisy-chained PC.","show interfaces fa0/5 switchport shows 'Access Mode VLAN: 10', 'Voice VLAN: none'.","Voice VLAN is not configured on switchport, causing phone and PC to fight for untagged VLAN 10 frames.","show interfaces fa0/5 switchport","Configure 'switchport voice vlan 20' and 'switchport mode access' on Fa0/5."
CASE022,Gateway,Missing IP default-gateway on Layer 2 switch,Layer 3,Low,"Admin can ping SW2 from the local management subnet 192.168.1.0/24, but remote SSH from 10.0.0.0/24 fails.","SW2 is a Layer 2 switch with Management VLAN 1 IP 192.168.1.200/24.","show ip default-gateway returns empty / not set; show run shows no 'ip default-gateway' command.","SW2 lacks an 'ip default-gateway' setting, so return traffic to remote subnets cannot be routed.","show ip default-gateway","Configure 'ip default-gateway 192.168.1.1' on SW2."
CASE023,DHCP,DHCP snooping dropping offers from untrusted uplink,Layer 3,High,"DHCP snooping enabled globally on SW1; clients in VLAN 10 fail to receive DHCP leases from DHCP server.","DHCP server resides upstream connected to GigabitEthernet0/1.","show ip dhcp snooping shows Gi0/1 is untrusted; show ip dhcp snooping statistics shows DHCPOFFER packets dropped on Gi0/1.","Gi0/1 is not configured as a trusted DHCP snooping port, so the switch drops all server offers.","show ip dhcp snooping","Configure 'interface gi0/1' -> 'ip dhcp snooping trust' on SW1."
CASE024,DHCP,Missing ip helper-address on router SVI,Layer 3,High,"Clients on VLAN 30 broadcast for DHCP but receive no response from centralized DHCP server on VLAN 10.","Centralized DHCP server 192.168.10.100; VLAN 30 subnet 192.168.30.0/24 on router sub-interface Gi0/0.30.","show run interface gi0/0.30 shows IP address 192.168.30.1 255.255.255.0, but no 'ip helper-address'.","Router sub-interface is dropping Layer 3 DHCP broadcast discovers because DHCP relay is not configured.","show running-config interface gi0/0.30","Add 'ip helper-address 192.168.10.100' under interface Gi0/0.30."
CASE025,DNS,Stale hosts file override on client workstation,Layer 7,Low,"Single client workstation connects to old decommissioned web server IP despite DNS updating globally.","DNS record for intra.corp points to 10.0.0.50. Client pings 10.0.0.12.","nslookup intra.corp returns 10.0.0.50; type C:\Windows\System32\drivers\etc\hosts shows '10.0.0.12 intra.corp'.","Local static hosts file entry overrides global DNS server response.","nslookup intra.corp","Remove the outdated static mapping line from C:\Windows\System32\drivers\etc\hosts."
CASE026,Routing,Floating static route administrative distance wrong,Layer 3,Medium,"Backup 4G link is taking active traffic instead of primary fiber link, incurring high data costs.","Primary static route configured with AD 10; backup route configured with AD 5 (should be >10).","show ip route shows 'S 0.0.0.0/0 [5/0] via 192.168.200.1' (4G interface) active in routing table.","Backup route has a lower administrative distance than primary route, making it active by default.","show ip route 0.0.0.0","Reconfigure backup route with AD higher than primary (e.g. 'ip route 0.0.0.0 0.0.0.0 192.168.200.1 20')."
CASE027,ACL,Inbound vs outbound ACL placement mismatch,Layer 4,High,"ACL 105 designed to filter incoming internet traffic was applied as 'outbound' on WAN interface.","WAN interface Gi0/0 faces ISP; internal LAN on Gi0/1.","show run interface gi0/0 shows 'ip access-group 105 out'; show access-lists 105 shows zero matches.","ACL 105 applied in 'out' direction instead of 'in', failing to inspect inbound packets from WAN.","show running-config interface gi0/0","Change interface binding to 'ip access-group 105 in'."
CASE028,NAT,Incorrect NAT inside/outside interface designation,Layer 3,High,"Internet-bound traffic from LAN fails; router logs translate inside-to-outside errors.","LAN interface Gi0/1; WAN interface Gi0/0.","show run interface gi0/1 shows 'ip nat outside'; interface gi0/0 shows 'ip nat inside'.","Interface NAT roles are inverted: LAN interface is set to outside, and WAN interface is set to inside.","show running-config | include ip nat inside|ip nat outside","Configure 'ip nat inside' on LAN interface Gi0/1 and 'ip nat outside' on WAN interface Gi0/0."
CASE029,Wireless,WPA2-PSK passphrase mismatch on AP,Layer 2,Medium,"Laptops fail 4-way WPA handshake when connecting to production SSID 'CorpSecure'.","Radius/PSK profile updated on router AP; clients fail during authentication phase.","show dot11 association shows client status 'AUTHENTICATING' followed by deauth code 15 (4-way handshake timeout).","Pre-shared key configured on AP differs from passphrase distributed to client profiles.","show dot11 association","Re-verify and sync the WPA2 pre-shared key on AP and client device profiles."
CASE030,Interface,Speed and duplex mismatch causing high collision rate,Layer 1,Medium,"Server file transfers are extremely slow (under 100 KB/s) with high packet loss across Gi0/2.","Switchport Gi0/2 hardcoded to 100/Full; connected Linux host left on auto-negotiation (fell back to half duplex).","show interfaces gi0/2 shows '100Mb/s, Full-duplex', late collisions incrementing rapidly, CRC errors high.","Duplex mismatch: switch is forced to Full-duplex while auto-negotiating host defaulted to Half-duplex.","show interfaces gi0/2","Set switchport Gi0/2 to 'speed auto' and 'duplex auto' on both endpoints."
